title,milestone,labels,body_file,phase
Implement llama.cpp OpenAI-compatible client,M1 Core Inference Service,"phase:m1,area:llm,priority:p0",issue-bodies/implement-llama-cpp-openai-compatible-client.md,M1
Implement dialogue/text job queue,M1 Core Inference Service,"phase:m1,area:backend,priority:p0",issue-bodies/implement-dialogue-text-job-queue.md,M1
Implement prompt builder with schema-constrained outputs,M1 Core Inference Service,"phase:m1,area:llm,area:security,priority:p1",issue-bodies/implement-prompt-builder-with-schema-constrained-outputs.md,M1
Implement text normalization and TTS safety preprocessor,M1 Core Inference Service,"phase:m1,area:tts,area:security,priority:p1",issue-bodies/implement-text-normalization-and-tts-safety-preprocessor.md,M1
Implement Kokoro primary TTS worker,M2 TTS Pipeline,"phase:m2,area:tts,priority:p0",issue-bodies/implement-kokoro-primary-tts-worker.md,M2
Implement Piper persistent fallback worker,M2 TTS Pipeline,"phase:m2,area:tts,priority:p1",issue-bodies/implement-piper-persistent-fallback-worker.md,M2
Create voice registry and preview metadata,M2 TTS Pipeline,"phase:m2,area:tts,area:ui,priority:p1",issue-bodies/create-voice-registry-and-preview-metadata.md,M2
"Implement audio normalization, encoding, and cache",M2 TTS Pipeline,"phase:m2,area:audio,priority:p0",issue-bodies/implement-audio-normalization-encoding-and-cache.md,M2
Implement sentence chunking for long text,M2 TTS Pipeline,"phase:m2,area:tts,priority:p2",issue-bodies/implement-sentence-chunking-for-long-text.md,M2
Implement signed audio asset endpoint,M3 Audio Outputs & Transport,"phase:m3,area:audio,area:security,priority:p0",issue-bodies/implement-signed-audio-asset-endpoint.md,M3
Implement local speaker playback adapter,M3 Audio Outputs & Transport,"phase:m3,area:audio,priority:p1",issue-bodies/implement-local-speaker-playback-adapter.md,M3
Implement PCM streaming endpoint,M3 Audio Outputs & Transport,"phase:m3,area:audio,priority:p1",issue-bodies/implement-pcm-streaming-endpoint.md,M3
Implement file export API,M3 Audio Outputs & Transport,"phase:m3,area:audio,priority:p2",issue-bodies/implement-file-export-api.md,M3
Build CLI adapter,M4 App Adapters,"phase:m4,area:backend,priority:p1",issue-bodies/build-cli-adapter.md,M4
Build generic HTTP API adapter,M4 App Adapters,"phase:m4,area:backend,priority:p0",issue-bodies/build-generic-http-api-adapter.md,M4
Build desktop assistant adapter skeleton,M4 App Adapters,"phase:m4,area:audio,priority:p2",issue-bodies/build-desktop-assistant-adapter-skeleton.md,M4
Build generic game/NPC adapter contract,M4 App Adapters,"phase:m4,area:architecture,priority:p2",issue-bodies/build-generic-game-npc-adapter-contract.md,M4
Create minimal web dashboard,"M5 UI, Metrics & Observability","phase:m5,area:ui,priority:p2",issue-bodies/create-minimal-web-dashboard.md,M5
Add metrics and structured logs,"M5 UI, Metrics & Observability","phase:m5,area:backend,priority:p1",issue-bodies/add-metrics-and-structured-logs.md,M5
Add voice preview UI,"M5 UI, Metrics & Observability","phase:m5,area:ui,area:tts,priority:p3",issue-bodies/add-voice-preview-ui.md,M5
Implement API auth modes,"M6 Security, Abuse Resistance & Privacy","phase:m6,area:security,priority:p1",issue-bodies/implement-api-auth-modes.md,M6
Add prompt-injection regression tests,"M6 Security, Abuse Resistance & Privacy","phase:m6,area:security,type:test,priority:p1",issue-bodies/add-prompt-injection-regression-tests.md,M6
Add filesystem abuse tests,"M6 Security, Abuse Resistance & Privacy","phase:m6,area:security,type:test,priority:p0",issue-bodies/add-filesystem-abuse-tests.md,M6
Add rate limits and queue backpressure,"M6 Security, Abuse Resistance & Privacy","phase:m6,area:security,risk:performance,priority:p1",issue-bodies/add-rate-limits-and-queue-backpressure.md,M6
Create Docker Compose for service stack,"M7 Packaging, Docs & Release","phase:m7,area:docs,priority:p1",issue-bodies/create-docker-compose-for-service-stack.md,M7
Create setup docs for Windows and Linux,"M7 Packaging, Docs & Release","phase:m7,area:docs,priority:p0",issue-bodies/create-setup-docs-for-windows-and-linux.md,M7
Create CI workflows,"M7 Packaging, Docs & Release","phase:m7,area:tests,priority:p1",issue-bodies/create-ci-workflows.md,M7
Create release checklist,"M7 Packaging, Docs & Release","phase:m7,area:docs,priority:p2",issue-bodies/create-release-checklist.md,M7
